"volcano_number" "volcano_name" "eruption_number" "eruption_category" "area_of_activity" "vei" "start_year" "start_month" "start_day" "evidence_method_dating" "end_year" "end_month" "end_day" "latitude" "longitude" "start_date" "end_date" "eruption_length_in_days"
"37" 256010 "Tinakula" 22313 "Confirmed Eruption" NA "2" 2018 12 8 "Historical Observations" 2020 4 11 -10.386 165.804 2018-12-08 2020-04-11 490
"38" 267020 "Karangetang" 22294 "Confirmed Eruption" NA "2" 2018 11 25 "Historical Observations" 2020 4 17 2.781 125.407 2018-11-25 2020-04-17 509
"39" 357040 "Planchon-Peteroa" 22297 "Confirmed Eruption" NA "1" 2018 11 7 "Historical Observations" 2019 5 7 -35.223 -70.568 2018-11-07 2019-05-07 181
"40" 351020 "Ruiz, Nevado del" 22298 "Uncertain Eruption" NA NA 2018 10 26 "Historical Observations" 2018 10 26 4.892 -75.324 2018-10-26 2018-10-26 0
"41" 282050 "Kuchinoerabujima" 22296 "Confirmed Eruption" NA "3" 2018 10 21 "Historical Observations" 2019 2 3 30.443 130.217 2018-10-21 2019-02-03 105
"42" 268060 "Gamalama" 22295 "Confirmed Eruption" NA "1" 2018 10 4 "Historical Observations" 2018 10 6 0.8 127.33 2018-10-04 2018-10-06 2
"43" 266030 "Soputan" 22293 "Confirmed Eruption" NA "3" 2018 10 2 "Historical Observations" 2018 12 16 1.112 124.737 2018-10-02 2018-12-16 75
"44" 260010 "Barren Island" 22292 "Confirmed Eruption" NA "1" 2018 9 25 "Historical Observations" 2020 4 16 12.278 93.858 2018-09-25 2020-04-16 569
"45" 252120 "Ulawun" 22286 "Confirmed Eruption" NA "2" 2018 9 21 "Historical Observations" 2018 10 12 -5.05 151.33 2018-09-21 2018-10-12 21
"46" 290200 "Ketoi" 22287 "Uncertain Eruption" NA "1" 2018 9 21 "Historical Observations" 2018 9 21 47.35 152.475 2018-09-21 2018-09-21 0
"47" 290240 "Sarychev Peak" 22288 "Confirmed Eruption" NA "2" 2018 9 8 "Historical Observations" 2018 10 15 48.092 153.2 2018-09-08 2018-10-15 37
"48" 311060 "Semisopochnoi" 22289 "Confirmed Eruption" NA "1" 2018 9 8 "Historical Observations" 2018 10 31 51.93 179.58 2018-09-08 2018-10-31 53
