"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"19" 285081 "Mashu" "Japan, Taiwan, Marianas" "Hokkaido" "Japan" 43.572 144.561 "Subduction zone / Continental crust (>25 km)" "Caldera" 857 1080 940 "Eruption Dated" 9794 9794 25627 632919 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"20" 241060 "Reporoa" "New Zealand to Fiji" "New Zealand" "New Zealand" -38.42 176.33 "Subduction zone / Continental crust (>25 km)" "Caldera" 592 1180 840 "Eruption Dated" 2920 2920 11513 363602 "Rhyolite" "Andesite / Basaltic Andesite" " " " " " " "Dacite" " " " " " " " "
"21" 357111 "Sollipulli" "South America" "Central Chile and Argentina" "Chile" -38.97 -71.52 "Subduction zone / Continental crust (>25 km)" "Caldera" 2282 1240 780 "Eruption Dated" 2971 2971 8904 510741 "Andesite / Basaltic Andesite" "Dacite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"22" 285080 "Kussharo" "Japan, Taiwan, Marianas" "Hokkaido" "Japan" 43.615 144.427 "Subduction zone / Continental crust (>25 km)" "Caldera" 574 1320 700 "Eruption Dated" 8331 8331 26476 680109 "Dacite" "Andesite / Basaltic Andesite" "Rhyolite" "Basalt / Picro-Basalt" " " " " " " " " " " " "
"23" 222164 "Ngozi" "Africa and Red Sea" "Africa (eastern)" "Tanzania" -8.989 33.554 "Rift zone / Continental crust (>25 km)" "Caldera" 2614 1450 570 "Eruption Dated" 456466 456466 604376 2195623 "Trachyte / Trachydacite" "Phonolite" "Trachyandesite / Basaltic Trachyandesite" "Basalt / Picro-Basalt" " " " " " " " " " " " "
"24" 211010 "Campi Flegrei" "Mediterranean and Western Asia" "Italy" "Italy" 40.827 14.139 "Subduction zone / Continental crust (>25 km)" "Caldera" 458 1538 482 "Eruption Observed" 2234109 2234109 3006865 6019697 "Trachyte / Trachydacite" "Phonolite" "Trachyandesite / Basaltic Trachyandesite" " " " " "Trachybasalt / Tephrite Basanite" "Phono-tephrite /  Tephri-phonolite" " " " " " "
"25" 300190 "Krasheninnikov" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 54.596 160.27 "Subduction zone / Continental crust (>25 km)" "Caldera" 1816 1550 470 "Eruption Dated" 308 308 814 4674 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " " " "
"26" 360140 "Qualibou" "West Indies" "West Indies" "Saint Lucia" 13.83 -61.05 "Subduction zone / Oceanic crust (< 15 km)" "Caldera" 777 1766 254 "Eruption Observed" 87921 87921 172439 690495 "Andesite / Basaltic Andesite" "Dacite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"27" 352022 "Chacana" "South America" "Ecuador" "Ecuador" -0.375 -78.25 "Subduction zone / Continental crust (>25 km)" "Caldera" 4643 1773 247 "Eruption Observed" 81716 81716 348743 3292546 "Rhyolite" "Dacite" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " "
"28" 300080 "Opala" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 52.543 157.339 "Subduction zone / Continental crust (>25 km)" "Caldera" 2439 1776 244 "Eruption Observed" 22 22 50 58949 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " "Dacite" "Rhyolite" " " " " " "
