"volcano_number" "volcano_name" "region" "subregion" "country" "latitude" "longitude" "tectonic_settings" "primary_volcano_type" "elevation" "last_eruption_year" "years_ago" "evidence_category" "population_within_5_km" "population_within_10_km" "population_within_30_km" "population_within_100_km" "major_rock_1" "major_rock_2" "major_rock_3" "major_rock_4" "major_rock_5" "minor_rock_1" "minor_rock_2" "minor_rock_3" "minor_rock_4" "minor_rock_5"
"179" 355093 "Guayaques" "South America" "Northern Chile, Bolivia and Argentina" "Chile-Bolivia" -22.895 -67.566 "Subduction zone / Continental crust (>25 km)" "Lava dome" 5598 NA NA "Evidence Credible" 2 26 408 9770 "Dacite" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"180" 210010 "West Eifel Volcanic Field" "Mediterranean and Western Asia" "Western Europe" "Germany" 50.17 6.85 "Rift zone / Continental crust (>25 km)" "Maar" 600 -8300 10320 "Eruption Dated" 94991 94991 232256 7945412 "Foidite" " " " " " " " " "Trachybasalt / Tephrite Basanite" "Phonolite" " " " " " "
"181" 282081 "Yonemaru-Sumiyoshiike" "Japan, Taiwan, Marianas" "Ryukyu Islands and Kyushu" "Japan" 31.771 130.592 "Subduction zone / Continental crust (>25 km)" "Maar" 40 -6200 8220 "Eruption Dated" 18080 73354 923168 2959509 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"182" 283262 "Megata" "Japan, Taiwan, Marianas" "Honshu" "Japan" 39.95 139.73 "Subduction zone / Continental crust (>25 km)" "Maar" 291 -2050 4070 "Eruption Dated" 1854 3577 81218 1205440 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Dacite" "Rhyolite" " " " " " " " " " " " "
"183" 323160 "Ubehebe Craters" "Canada and Western USA" "USA (California)" "United States" 37.02 -117.45 "Rift zone / Continental crust (>25 km)" "Maar" 752 -150 2170 "Eruption Dated" 18 94 262 15354 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"184" 312131 "Ukinrek Maars" "Alaska" "Alaska Peninsula" "United States" 57.832 -156.51 "Subduction zone / Continental crust (>25 km)" "Maar" 91 1977 43 "Eruption Observed" 0 0 0 739 "Basalt / Picro-Basalt" "Dacite" " " " " " " " " " " " " " " " "
"185" 326010 "Soda Lakes" "Canada and Western USA" "USA (Nevada)" "United States" 39.53 -118.87 "Rift zone / Continental crust (>25 km)" "Maar" 1251 NA NA "Evidence Credible" 1616 11149 25655 557259 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"186" 223004 "Bunyaruguru" "Africa and Red Sea" "Africa (central)" "Uganda" -0.2 30.08 "Rift zone / Continental crust (>25 km)" "Maar" 1554 NA NA "Evidence Credible" 177517 177517 338735 5955535 "Foidite" " " " " " " " " " " " " " " " " " "
"187" 355035 "Jayu Khota, Laguna" "South America" "Northern Chile, Bolivia and Argentina" "Bolivia" -19.463 -67.432 "Subduction zone / Continental crust (>25 km)" "Maar" 3650 NA NA "Evidence Credible" 176 856 6757 70825 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"188" 222161 "Igwisi Hills" "Africa and Red Sea" "Africa (eastern)" "Tanzania" -4.889 31.933 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 1146 -10450 12470 "Eruption Dated" 37034 37034 105827 774440 "Foidite" " " " " " " " " " " " " " " " " " "
"189" 233014 "Itasy Volcanic Field" "Middle East and Indian Ocean" "Indian Ocean (western)" "Madagascar" -19.033 46.7 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1800 -6050 8070 "Eruption Dated" 129121 129121 249291 4168513 "Trachyte / Trachydacite" "Trachybasalt / Tephrite Basanite" "Phonolite" " " " " " " " " " " " " " "
"190" 275110 "Tengchong" "Philippines and SE Asia" "Southeast Asia" "China" 25.23 98.5 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 2865 -5750 7770 "Eruption Dated" 153375 153375 419814 2932117 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " "Dacite" " " " " " " " "
"191" 358080 "Pali-Aike Volcanic Field" "South America" "Southern Chile and Argentina" "Chile-Argentina" -52.082 -69.698 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 282 -5550 7570 "Eruption Dated" 288 288 651 95765 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " " " "
"192" 357112 "Caburgua-Huelemolle" "South America" "Central Chile and Argentina" "Chile" -39.25 -71.75 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1652 -5050 7070 "Eruption Dated" 5951 5951 17774 521553 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"193" 300273 "Cherpuk Group" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 55.55 157.47 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1868 -4550 6570 "Eruption Dated" 0 0 32 3323 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"194" 210040 "Calatrava Volcanic Field" "Mediterranean and Western Asia" "Western Europe" "Spain" 38.87 -4.02 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1117 -3600 5620 "Eruption Dated" 197199 197199 197199 774386 "Basalt / Picro-Basalt" "Foidite" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " "
"195" 327110 "Carrizozo" "Canada and Western USA" "USA (New Mexico)" "United States" 33.78 -105.93 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 1731 -3250 5270 "Eruption Dated" 2 11 2596 89711 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"196" 225050 "Meidob Volcanic Field" "Africa and Red Sea" "Africa (northern)" "Sudan" 15.32 26.47 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 2000 -2950 4970 "Eruption Dated" 5140 5140 5140 24193 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " "Phonolite" "Trachyte / Trachydacite" "Trachyandesite / Basaltic Trachyandesite" " " " "
"197" 214080 "Vaiyots-Sar" "Mediterranean and Western Asia" "Western Asia" "Armenia" 39.797 45.497 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 2575 -2000 4020 "Eruption Dated" 31477 31477 57079 1465950 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"198" 341095 "Naolinco Volcanic Field" "México and Central America" "Mexico" "Mexico" 19.67 -96.75 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 2000 -1200 3220 "Eruption Dated" 108824 108824 739767 4184323 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" "Trachybasalt / Tephrite Basanite" " " " " "Trachyandesite / Basaltic Trachyandesite" "Trachyte / Trachydacite" " " " " " "
"199" 322040 "Sand Mountain Field" "Canada and Western USA" "USA (Oregon)" "United States" 44.38 -121.93 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1664 -950 2970 "Eruption Dated" 89 89 1574 519291 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"200" 300124 "Zavaritsky" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 53.905 158.385 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1567 -800 2820 "Eruption Dated" 0 0 37 223868 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"201" 358024 "Apagado" "South America" "Southern Chile and Argentina" "Chile" -41.88 -72.58 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1210 -590 2610 "Eruption Dated" 5 44 4474 354002 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"202" 302030 "Udokan Plateau" "Kamchatka and Mainland Asia" "Russia (southeastern)" "Russia" 56.28 117.77 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2180 -220 2240 "Eruption Dated" 12 12 62 4688 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" "Trachyte / Trachydacite" "Foidite" "Trachyandesite / Basaltic Trachyandesite" " " " " " " " " " "
"203" 358012 "Cayutue-La Vigueria" "South America" "Southern Chile and Argentina" "Chile" -41.25 -72.27 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 506 -190 2210 "Eruption Dated" 1737 1737 5482 451311 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"204" 324020 "Craters of the Moon" "Canada and Western USA" "USA (Idaho)" "United States" 43.42 -113.5 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2005 -130 2150 "Eruption Dated" 15 15 1459 93300 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" "Trachyandesite / Basaltic Trachyandesite" " " " " " " " " " " " " " "
"205" 305011 "Arxan-Chaihe" "Kamchatka and Mainland Asia" "China (eastern)" "China" 47.45 120.8 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1677 0 2020 "Eruption Dated" 6435 6435 6435 188163 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"206" 305050 "Longgang Group" "Kamchatka and Mainland Asia" "China (eastern)" "China" 42.33 126.5 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1000 350 1670 "Eruption Dated" 34708 34708 197016 4407575 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " " " "
"207" 225060 "Bayuda Volcanic Field" "Africa and Red Sea" "Africa (northern)" "Sudan" 18.33 32.75 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 670 850 1170 "Eruption Dated" 1124 1124 2752 259325 "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " " " " " "
"208" 329020 "San Francisco Volcanic Field" "Canada and Western USA" "USA (Arizona)" "United States" 35.347 -111.678 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 3850 1075 945 "Eruption Dated" 23157 23157 70472 190983 "Basalt / Picro-Basalt" "Trachyandesite / Basaltic Trachyandesite" "Trachyte / Trachydacite" "Dacite" "Rhyolite" " " " " " " " " " "
"209" 300122 "Kostakan" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 53.83 158.05 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1150 1350 670 "Eruption Dated" 13 13 1352 232577 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"210" 354004 "Andahua-Orcopampa" "South America" "Peru" "Peru" -15.42 -72.33 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 4713 1490 530 "Eruption Dated" 10317 10317 16541 171897 "Trachyandesite / Basaltic Trachyandesite" " " " " " " " " "Trachyte / Trachydacite" " " " " " " " "
"211" 320150 "Wells Gray-Clearwater" "Canada and Western USA" "Canada" "Canada" 52.33 -120.57 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 2576 1550 470 "Eruption Dated" 716 716 716 18280 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " " " "
"212" 382081 "Picos Volcanic System" "Atlantic Ocean" "Azores" "Portugal" 37.78 -25.67 "Rift zone / Oceanic crust (< 15 km)" "Pyroclic cone" 350 1652 368 "Eruption Observed" 115732 115732 123990 139730 "Trachybasalt / Tephrite Basanite" " " " " " " " " "Trachyte / Trachydacite" " " " " " " " "
"213" 222090 "Olkaria" "Africa and Red Sea" "Africa (eastern)" "Kenya" -0.904 36.292 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2434 1770 250 "Eruption Dated" 59747 59747 208003 8437829 "Rhyolite" "Trachyte / Trachydacite" "Basalt / Picro-Basalt" " " " " "Trachybasalt / Tephrite Basanite" " " " " " " " "
"214" 323110 "Mono Lake Volcanic Field" "Canada and Western USA" "USA (California)" "United States" 38 -119.03 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2121 1790 230 "Eruption Dated" 1066 1066 1491 65028 "Dacite" "Rhyolite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
"215" 320090 "Iskut-Unuk River Cones" "Canada and Western USA" "Canada" "Canada" 56.58 -130.55 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1880 1800 220 "Eruption Dated" 0 0 0 663 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"216" 221250 "Tullu Moje" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 8.159 39.137 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2343 1900 120 "Eruption Observed" 11514 51976 546291 5565084 "Rhyolite" "Trachyte / Trachydacite" "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " "
"217" 358063 "Reclus" "South America" "Southern Chile and Argentina" "Chile" -50.964 -73.585 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1000 1908 112 "Eruption Observed" 0 1 420 12382 "Dacite" " " " " " " " " " " " " " " " " " "
"218" 275001 "Hainan Volcanic Field" "Philippines and SE Asia" "Southeast Asia" "China" 19.905 110.229 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 196 1933 87 "Eruption Observed" 1731229 1731229 1731229 6213231 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"219" 304030 "Kunlun Volcanic Group" "Kamchatka and Mainland Asia" "China (western)" "China" 35.52 80.2 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 5808 1951 69 "Eruption Observed" 1253 1253 3212 22621 "Trachyte / Trachydacite" " " " " " " " " " " " " " " " " " "
"220" 341060 "Michoacan-Guanajuato" "México and Central America" "Mexico" "Mexico" 19.85 -101.75 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 3860 1952 68 "Eruption Observed" 5783287 5783287 5783287 5783287 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " " " "Trachyandesite / Basaltic Trachyandesite" "Trachybasalt / Tephrite Basanite" "Dacite" " " " "
"221" 341020 "Barcena" "México and Central America" "Mexico" "Mexico" 19.3 -110.82 "Rift zone / Oceanic crust (< 15 km)" "Pyroclic cone" 332 1953 67 "Eruption Observed" 0 0 0 0 "Trachyte / Trachydacite" "Trachybasalt / Tephrite Basanite" "Trachyandesite / Basaltic Trachyandesite" "Rhyolite" "Basalt / Picro-Basalt" " " " " " " " " " "
"222" 357140 "Carran-Los Venados" "South America" "Central Chile and Argentina" "Chile" -40.35 -72.07 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1114 1979 41 "Eruption Observed" 4840 4840 9001 452820 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"223" 283010 "Izu-Tobu" "Japan, Taiwan, Marianas" "Honshu" "Japan" 34.9 139.098 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1406 1989 31 "Eruption Observed" 5886 61727 447660 17928355 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" "Dacite" " " " " "Rhyolite" " " " " " " " "
"224" 344070 "Negro, Cerro" "México and Central America" "Nicaragua" "Nicaragua" 12.506 -86.702 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 728 1999 21 "Eruption Observed" 1690 10243 296320 3540933 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"225" 343160 "Utila Island" "México and Central America" "El Salvador and Honduras" "Honduras" 16.12 -86.882 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 74 NA NA "Evidence Credible" 2260 2260 2260 650270 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"226" 341002 "San Quintin Volcanic Field" "México and Central America" "Mexico" "Mexico" 30.468 -115.996 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 260 NA NA "Evidence Uncertain" 20736 20736 33847 72402 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"227" 268001 "Tarakan" "Indonesia" "Halmahera" "Indonesia" 1.83 127.83 "Subduction zone / Oceanic crust (< 15 km)" "Pyroclic cone" 318 NA NA "Evidence Credible" 18056 23570 85055 360761 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"228" 320120 "Milbanke Sound Group" "Canada and Western USA" "Canada" "Canada" 52.5 -128.73 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 335 NA NA "Evidence Credible" 574 574 574 2792 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"229" 390050 "Seal Nunataks Group" "Antarctica" "Antarctica and South Sandwich Islands" "Antarctica" -65.03 -60.05 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 368 NA NA "Evidence Credible" 0 0 0 0 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " " " " " " " " " " "
"230" 241011 "Whangarei" "New Zealand to Fiji" "New Zealand" "New Zealand" -35.75 174.27 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 397 NA NA "Evidence Uncertain" 51419 51419 62244 145873 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " "Andesite / Basaltic Andesite" "Dacite" "Rhyolite" " " " "
"231" 290091 "Rucharuyama [Golets-Tornyi Group]" "Kuril Islands" "Kuril Islands" "Japan - administered by Russia" 45.25 148.35 "Subduction zone / Intermediate crust (15-25 km)" "Pyroclic cone" 442 NA NA "Evidence Uncertain" 1377 1724 2859 5368 "Andesite / Basaltic Andesite" "Dacite" " " " " " " " " " " " " " " " "
"232" 224011 "Tombel Graben" "Africa and Red Sea" "Africa (western)" "Cameroon" 4.758 9.717 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 500 NA NA "Evidence Credible" 234623 234623 434892 4087423 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"233" 305020 "Keluo Group" "Kamchatka and Mainland Asia" "China (eastern)" "China" 49.37 125.92 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 670 NA NA "Evidence Credible" 20323 20323 72863 994984 "Trachybasalt / Tephrite Basanite" "Foidite" " " " " " " " " " " " " " " " "
"234" 261131 "Sarik-Gajah" "Indonesia" "Sumatra" "Indonesia" 0.074 100.189 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 737 NA NA "Evidence Uncertain" 5188 21465 247754 2951369 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" "Dacite" " " " " " " " " " " " " " "
"235" 213000 "Kula" "Mediterranean and Western Asia" "Turkey" "Turkey" 38.58 28.52 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 750 NA NA "Evidence Credible" 66866 66866 187845 2655406 "Trachybasalt / Tephrite Basanite" "Phono-tephrite /  Tephri-phonolite" " " " " " " "Basalt / Picro-Basalt" "Trachyandesite / Basaltic Trachyandesite" "Foidite" " " " "
"236" 300056 "Otdelniy" "Kamchatka and Mainland Asia" "Kamchatka Peninsula" "Russia" 52.221 157.435 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 814 NA NA "Evidence Credible" 14 14 34 8527 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"237" 210030 "Olot Volcanic Field" "Mediterranean and Western Asia" "Western Europe" "Spain" 42.17 2.53 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 893 NA NA "Evidence Credible" 33377 33377 101153 5238117 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"238" 343002 "Singuil, Cerro" "México and Central America" "El Salvador and Honduras" "El Salvador" 14.054 -89.631 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 926 NA NA "Evidence Credible" 25874 156926 883616 6672302 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"239" 370020 "Helgrindur" "Iceland and Arctic Ocean" "Iceland (western)" "Iceland" 64.866 -23.283 "Rift zone / Oceanic crust (< 15 km)" "Pyroclic cone" 986 NA NA "Evidence Credible" 753 753 2312 20018 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"240" 221330 "Mega Basalt Field" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia-Kenya" 4.063 37.488 "Rift zone / Intermediate crust (15-25 km)" "Pyroclic cone" 1111 NA NA "Evidence Credible" 2815 2815 7605 119999 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"241" 290370 "Vernadskii Ridge" "Kuril Islands" "Kuril Islands" "Russia" 50.55 155.97 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1183 NA NA "Evidence Credible" 0 2 976 3064 "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"242" 342200 "Chiquimula Volcanic Field" "México and Central America" "Guatemala" "Guatemala" 14.83 -89.55 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1192 NA NA "Evidence Credible" 240892 240892 412617 3740914 "Basalt / Picro-Basalt" "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " "
"243" 341001 "Pinacate" "México and Central America" "Mexico" "Mexico" 31.772 -113.498 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1200 NA NA "Evidence Credible" 92 92 408 62753 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" "Trachyandesite / Basaltic Trachyandesite" "Trachyte / Trachydacite" " " "Andesite / Basaltic Andesite" " " " " " " " "
"244" 302040 "Vitim Volcanic Field" "Kamchatka and Mainland Asia" "Russia (southeastern)" "Russia" 53.75 113.25 "Unknown" "Pyroclic cone" 1250 NA NA "Evidence Credible" 669 669 669 10035 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" " " " " " " "Andesite / Basaltic Andesite" " " " " " " " "
"245" 213001 "Karapinar Field" "Mediterranean and Western Asia" "Turkey" "Turkey" 37.667 33.6 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1302 NA NA "Evidence Credible" 46013 46013 73698 1220961 "Trachyandesite / Basaltic Trachyandesite" "Trachybasalt / Tephrite Basanite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"246" 358025 "Crater Basalt Volcanic Field" "South America" "Southern Chile and Argentina" "Argentina" -42.018 -70.194 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1344 NA NA "Evidence Credible" 448 448 1140 20539 "Trachybasalt / Tephrite Basanite" " " " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"247" 341007 "San Borja Volcanic Field" "México and Central America" "Mexico" "Mexico" 28.5 -113.75 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 1360 NA NA "Evidence Credible" 722 722 2558 45359 "Andesite / Basaltic Andesite" "Trachyandesite / Basaltic Trachyandesite" " " " " " " "Basalt / Picro-Basalt" " " " " " " " "
"248" 225006 "Manzaz Volcanic Field" "Africa and Red Sea" "Africa (northern)" "Algeria" 23.92 5.83 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1672 NA NA "Evidence Credible" 1196 1196 1326 5278 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"249" 303040 "Dariganga Volcanic Field" "Kamchatka and Mainland Asia" "Mongolia" "Mongolia" 45.754 114.279 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1778 NA NA "Evidence Credible" 18247 18247 18247 25280 "Basalt / Picro-Basalt" "Trachybasalt / Tephrite Basanite" "Foidite" " " " " " " " " " " " " " "
"250" 225040 "Kutum Volcanic Field" "Africa and Red Sea" "Africa (northern)" "Sudan" 14.57 25.85 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1779 NA NA "Evidence Uncertain" 30569 30569 30569 194797 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"251" 225001 "Todra Volcanic Field" "Africa and Red Sea" "Africa (northern)" "Niger" 17.68 8.5 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1780 NA NA "Evidence Credible" 362 362 927 146935 "Basalt / Picro-Basalt" "Trachyte / Trachydacite" "Phonolite" " " " " " " " " " " " " " "
"252" 320030 "Atlin Volcanic Field" "Canada and Western USA" "Canada" "Canada" 59.68 -133.32 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 1880 NA NA "Evidence Credible" 0 0 94 956 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " "Foidite" " " " " " " " "
"253" 322150 "Cinnamon Butte" "Canada and Western USA" "USA (Oregon)" "United States" 43.241 -122.108 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 1956 NA NA "Evidence Uncertain" 113 113 913 69577 "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " " " "
"254" 341022 "Durango Volcanic Field" "México and Central America" "Mexico" "Mexico" 24.15 -104.45 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 2075 NA NA "Evidence Credible" 571282 571282 571282 797133 "Trachybasalt / Tephrite Basanite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " " " "
"255" 357092 "Mariñaqui, Laguna" "South America" "Central Chile and Argentina" "Chile" -38.255 -71.167 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 2108 NA NA "Evidence Credible" 95 314 4640 85612 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"256" 221240 "Bora-Bericcio" "Africa and Red Sea" "Africa (northeastern) and Red Sea" "Ethiopia" 8.221 39.05 "Rift zone / Continental crust (>25 km)" "Pyroclic cone" 2267 NA NA "Evidence Credible" 5822 44666 433373 8356559 "Rhyolite" " " " " " " " " " " " " " " " " " "
"257" 341031 "Mascota Volcanic Field" "México and Central America" "Mexico" "Mexico" 20.62 -104.83 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 2560 NA NA "Evidence Credible" 16293 16293 31760 1083467 "Andesite / Basaltic Andesite" "Trachybasalt / Tephrite Basanite" "Trachyandesite / Basaltic Trachyandesite" " " " " " " " " " " " " " "
"258" 233015 "Vakinankaratra" "Middle East and Indian Ocean" "Indian Ocean (western)" "Madagascar" -19.85 46.942 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 2644 NA NA "Evidence Credible" 123192 123192 413328 5184370 "Trachybasalt / Tephrite Basanite" "Foidite" "Andesite / Basaltic Andesite" "Trachyte / Trachydacite" "Phonolite" " " " " " " " " " "
"259" 390021 "Royal Society Range" "Antarctica" "Antarctica and South Sandwich Islands" "Antarctica" -78.25 163.33 "Intraplate / Continental crust (>25 km)" "Pyroclic cone" 3000 NA NA "Evidence Uncertain" 0 0 0 0 "Trachyandesite / Basaltic Trachyandesite" " " " " " " " " "Phono-tephrite /  Tephri-phonolite" " " " " " " " "
"260" 352081 "Licto" "South America" "Ecuador" "Ecuador" -1.78 -78.613 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 3336 NA NA "Evidence Uncertain" 250144 250144 333276 1806438 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"261" 355180 "Antofagasta Volcanic Field" "South America" "Northern Chile, Bolivia and Argentina" "Argentina" -26.12 -67.4 "Subduction zone / Continental crust (>25 km)" "Pyroclic cone" 3495 NA NA "Evidence Uncertain" 188 188 257 4295 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"262" 255030 "Loloru" "Melanesia and Australia" "Bougainville and Solomon Islands" "Papua New Guinea" -6.52 155.62 "Subduction zone / Crustal thickness unknown" "Pyroclicield" 1887 -1050 3070 "Eruption Dated" 1 173 26075 97088 "Andesite / Basaltic Andesite" " " " " " " " " " " " " " " " " " "
"263" 344091 "Apoyeque" "México and Central America" "Nicaragua" "Nicaragua" 12.242 -86.342 "Subduction zone / Continental crust (>25 km)" "Pyroclicield" 518 -50 2070 "Eruption Dated" 2369 116718 1342581 3445854 "Dacite" "Andesite / Basaltic Andesite" "Basalt / Picro-Basalt" " " " " " " " " " " " " " "
